Sentence,Category
Attachments Attachment Information Directors ADVANCs Subsidiaries Attachment Corporate Governance Policy Business Ethics case Annual Report Form Report reference information disclose Companys website disclose information shall bedeeme form report,Governance
Board Directors certify correctness completeness disclose information annual information disclosure form report,Governance
evaluation independent counselor conduct year director rotation annually nonExecutive Directors Board Directors Meeting evaluation female director form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Message Chairman CEO Dear,Governance
shareholder amid economic challenge AIS commit develop digital infrastructure pursuit deliver fine service experience customer,Social
year Thai economy gradually recover wake acceleration economic activity follow subside covid pandemic,Social
macroeconomic factor fastchange global situation bring confluence factor include rise energy cost increase inflation pose challenge sector Thailand,Social
regardless difficulty AIS remain fully committed continuously improve service experience differentiate service quality standard support Thailands digital economic activity customer grow demand technological advance prompt digital disruption,Social
investment billion baht AIS achieve target expand G network cover total Thai population develop fullservice g ecosystem result exponential growth g user year,Social
invest expand home broadband network allow user remote area access AIS Fibre service,None
endeavor instrumental drive Thailands digital economy contribute enormously achievement business target,Social
AIS strive grow Digital Life Service Provider Cognitive techco amid economic volatility address need effectively deliver superior service excellence customer Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement addition accelerate,Governance
growth core business determined continue improve capability human capital enhance internal cost management control cope rise cost challenge,Social
year incorporate digital technology work process cost optimization program economic condition limit pass superior service customer deliver great return shareholder,Social
AIS achieve net profit million baht pay total million baht dividend account year net profit,None
foster robust digital ecosystem partner multiple sector create mutual growth deliver high privilege customer,Social
forefront digital service provider AIS pledge leader development digital ecosystem,Social
digitalization effort efficient infrastructure digital ecosystem cater application enhance potential competitiveness help achieve mutual growth party,Social
previous year cooperation partner AIS develop improve product service portfolio consolidate digital ecosystem Thailand central G Nextgen platform allow Thai business sector explore apply Genabled solution good suit business streamline work process enhance competitiveness different sphere,Social
AIS CloudX Drawing collaborative effort partner unrivaled expertise product support enterprise client flexible cloud management,Social
distinctive capability connect digital infrastructure G network securely conveniently offer friendly alternative enterprise customer access highly secure cloud service,None
Data Center Gulf Singtel AIS enter agreement establish data center business cater fast grow digital usage Thailand,Social
dynamic growth Thailand attractive target digital investment multiple hyperscaler open opportunity AIS thrive new growth area future,None
aside digital ecosystem dedicated develop diverse comprehensive privilege point ecosystem elevate service experience value customer,Social
establish partnership ally industry include Bangchak Group Central Group Citibank Group,None
effort AIS key strategy foster strong tie AIS customer help strengthen AIS competitiveness long term,Social
prime challenge transformation Cognitive TechCo anticipate Thai global economy face myriad risk challenge AIS relentless transform Digital Life Service Provider Cognitive techco ensure stakeholder notwithstanding economic volatility disruption AIS business operation service delivery poise address demand deliver exceptional service,Social
experience customer effectively,None
possible drive development key pillar Autonomous Network Intelligent Data Insight Customer Care deliver product service answer customer latent need,Social
believe development core area raise customer experience AIS service new level consolidate core business empower propel growth digital activity Thailand gain competitive edge sustain growth year come,None
maintain sustainability target dimension grow sustainably stakeholder AIS attach utmost importance conduct business alongside sustainable development,Social
end Companys business operation intertwine sustainability goal concept thrive greener inclusive digital world create mutual growth mankind environment span dimension drive digital economy promote digital inclusion act climate,Social
dimension sustainable development framework believe stimulate Thailand embark digital economy concern environment,Environmental
strong determination collaboration unit AIS result Company having win multiple prestigious accolade include High Commended Sustainability Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Awards Stock Exchange Thailand company operate,Governance
line sustainable development approach list Index consecutive year,Social
international level AIS list djsi World Emerging Market Indices telecommunications industry category consecutive year Index Series year run,None
coveted accolade bring great pride AIS true testament unwavering commitment escalate growth digital infrastructure foster readiness develop society Thailand sustainable digital economy,Social
endeavor align evolve environmental social economic challenge pursuit goal grow robustly create value group stakeholder sustainable manner,Environmental
AIS like extend sincere gratitude customer employee shareholder grow create sustainability develop infrastructure digital ecosystem Thailand,Social
warm regard Mr Kan Trakulhoon Chairman Mr Chief Executive Officer Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Audit Risk Committee Report Audit Risk Committee Advanced Info Service Public Company Limited,Governance
comprise independent director combine skill expertise,Governance
member possess adequate qualification prescribe Charter Audit Risk Committee prepare accordance guidance regulation Stock Exchange Thailand Capital Market Supervisory Board,Governance
Audit Risk Committee hold meeting review relevant matter,Governance
member meeting attendance follow,Social
Mr Krairit Euchukanonchai Chairman Audit Risk Committee attend meeting,Governance
Mr Ablaza Jr,None
Member Audit Risk Committee attend meeting,Governance
Mr Member Audit Risk Committee attend meeting Mr Montri Khongkruephan Companys Head Internal Audit act Secretary Audit Risk Committee,Governance
Audit Risk Committee carry duty independently scope specify Charter Audit Risk Committee summarize,Governance
Financial Report Audit Risk Committee review quarterly annual separate consolidated financial statement Group include disclosure note shareholder Advanced Info Service Public Company limit financial statement,Governance
Audit Risk Committee discuss significant matter external auditor Management receive statement external auditor Management ensure preparation Companys financial report include disclosure note annual financial statement conduct accordance financial reporting standard adequate disclosure information,Governance
result Audit Risk Committee concur financial statement auditor review audit issue unqualified opinion,Governance
addition Audit Risk Committee hold private meeting external auditor participation Management discuss independently external auditor obtain information independence perform duty recommendation internal control financial report,Governance
year external auditor remark,Governance
Connected Transactions Transactions conflict Companys Interests Audit Risk Committee review connected transaction transaction conflict Companys interest quarterly basis conclude transaction reasonable Companys good interest,Governance
addition transaction disclose Stock Exchange Thailand accordance relevant regulation,None
legality Audit Risk Committee review work Corporate Compliance Department Legal Department ensure Company place adequate control ensure operation comply applicable law regulation Securities Exchange Commission Stock Exchange Thailand National Broadcasting Telecommunications Commission Bank Thailand law applicable Companys business operation business obligation,Governance
thirdparty agreement,None
Audit Risk Committee continuously follow dispute ensure material information disclose note financial statement,Governance
Internal Control System Internal Audit Audit Risk Committee review effectiveness adequacy internal control system internal audit report present,Governance
Audit Risk Committee consistently consider monitor result pertain recommendation address internal audit external audit report acknowledge root cause provide suggestion management prevent potential loss,Governance
Audit Risk Committee monitor review result ensure Management follow internal control system recommendation prevent recurrence deficiency assess Companys internal control system use Securities Exchange Commissions recommend evaluation form,Governance
Audit Risk Committee review internal audit activity revisit Internal Audit Charter review approve annual audit plan hold private meeting Head Internal Audit participation management,Governance
Audit Risk Committee engage independent external assessor conduct quality assurance review internal audit activity ensure internal audit activity perform objectivity Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement independence,Governance
adequate resource achieve audit plan accordance Institute Internal Auditors International Standards Professional Practices Internal Auditing include ethic,Governance
Audit Risk Committee conclude Company implement adequate internal control business operation,Governance
significant deficiency cause material impact Companys financial report line external auditor opinion,Governance
furthermore Companys internal audit carry appropriately effectively independently,Governance
Review Oversight risk Management Audit Risk Committee hold meeting executive Risk Management Committee review appropriateness risk assessment risk control risk monitoring risk reporting,Governance
Audit Risk Committee conclude Company appropriate risk management system facilitate efficient effective business operation,Governance
Review Fraud Investigation Audit Risk Committee review oversee Companys adherence Fraud andor Misconduct Reporting Whistleblower Protection Policy,Governance
meeting Companys Investigation Committee conduct review complaint investigation result accord Companys process include efficiency whistleblowing channel,Governance
complaint noncompliance Companys Code Business Ethics work rule material loss,Governance
complaint submit consideration establish preventive measure,Governance
nomination Appointment External Auditor annual Audit Fee Audit Risk Committee consideration nomination appointment external auditor annual audit fee base assessment qualification competency experience performance independence auditing appropriateness audit fee nonaudit service offer audit firm ensure independence,Governance
careful consideration Audit Risk Committee propose Board Directors seek approval appoint external auditor KPMG Phoomchai Audit Company Limited external auditor year Shareholder Meeting,Governance
duty Responsibilities Audit Risk Committee Audit Risk Committee undertake annual selfassessment individually group accordance Stock Exchange Thailands criterion,Governance
result demonstrate Audit Risk Committee appropriately carry duty responsibility accordance Charter Audit Risk Committee,Governance
Audit Risk Committee review revision Charter Audit Risk Committee annual basis account good practice compliance regulation prescribe Capital Market Supervisory Board,Governance
conclusion Audit Risk Committee carry duty accord responsibility delegate Board Directors expertise professional care,Governance
