Sentence Index,Sentence
1,NETWORK THAILANDNONO ANNUAL report    form    Report Advanced Info Service Public Company Limited G Augmented Reality virtual reality g Vertical G Infrastructure g HorizontalG Mobile G FWA fix wireless accessG Cloud gamingG MetaverseDeliver good g experience consumer enterprise EndtoEnd Solutions    Use case Enterprise g Private Network Enterprise g fix Wireless Access G Network slice MultiAccess Edge computingarvr AI    Artificial Intelligent Video Analytics RoboticsG Devices G Mobile Packages CONSUMER ENTERPRISE Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
2,GovernanceManagement StructureInternal ControlFinancial StatementContents                                         Corporate Governance Corporate Governance     Performance Report Corporate Governance Year      Management Structure
3,   profile Directors Management
4,Board Directors BoardCommittees
5,nomination Directors Management    Remuneration Directors Management Internal Control Related Transaction  
6,Internal Control    Related Transaction     Financial Statement Board Directors Responsibility Financial Reporting
7,report Independent Certified Public Accountants Financial Statement   
8,Attachments Attachment    Information Directors advanc
9,SubsidiariesAttachment    Corporate Governance Policy Business Ethics
10,case Annual Report Form    Report reference information disclose Companys website disclose information shall    bedeeme form    report
11,Board Directors certify correctness completeness disclose information annual information disclosure form    report
12,business Performance Business Performance     Vision Missions     key development past year    Investment Structure AIS Group  
13,major shareholder AIS    Dividend policy    Nature Business  
15,revenue structure service type
16,type product service
17,industry competition    outlook  
18,   year business direction    asset use operation  
20,policy invest subsidiary associate company    Risk Management
21,sustainability    sustainable management policy target
22,business sustainability strategy
23,   Management impact stakeholder business value chain
24,   Human Rights
26,Management Discussion Analysis
27,Financial Position    Performance    General Information Significant Information
28,Legal Disputes    Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
29,GovernanceManagement StructureInternal ControlFinancial Statement Mobile Business    Lleadership mobile business    million subscriber Service coverage    population nationwideG subscriber excellent network quality Subscriber market share    million AIS point privilege redeem      merchantsAIS transformation Digital Life Service Provider Cognitive TechCo deliver excellent digital experience core business Enterprise Business
30,sovereign cloud SEA intelligent cloud ecosystem allow business develop cloud infrastructure consolidate service provisionmutilocation edge computing    Thailand Azure AWS    Hybrid Cloud InfrastructureThe Cloud service provider strategic partnership expand partnership Business ICT Services fix broadband Business Leadership FTTH fiber    optic technology coveringexpande scale     subscriber growth    million householdsSubscriber    marketshare provincesseven year continue growth development     Digital Services content include movie music game    AIS Play    AIS Playbox websitevideo platform    million active user Variety offering include travel    accident health life insurance drive pay Flexi plan play good pc console game smartphone anytimeoperate Highlight Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
31,GovernanceManagement StructureInternal ControlFinancial Statement Note financial      base PostTFRS    Net Profit Margin    Total Revenue increase core service revenue improvement    growth handset sale      Bt mn EBITDA    Bt mn Bt mnnet Profit    Bt mn Bt mn    Btshare dividend payout ratio             Return Equity slightly decrease cost challenge high industrys average     Net Debt ebitda strong financial flexibility forfuture growthtime      Free Cash Flow Healthy free cash flow deliversustainable returnBt mn       EBITDA Margin decrease impact marketing expense high utility cost        Net Profit Margin decrease challenge cost environmentin operating expense     
32,Dividend Payment maintain payout ratio    consolidate net profit         Mobile Revenue     operate Cash flow strong cash flow generation tosupport network investmentBt mn            Enterprise    revenue
33,Total Revenue    Bt mn         fix broadband revenue    Bt mn Bt mn Bt mnfinancial Highlight Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
34,GovernanceManagement StructureInternal ControlFinancial StatementSustainability Highlight Revenue fr om innov ation    Million BahtDrive Digital Economy Enhan ce capa bilitie s pr oactive threat hunt ing ap ply    AI Machine Learning Promote Digital Inclusion Busine ss med ia interna tional    Expa nd functi onalit y    Aor Sor Mor app ben efite     Mn household     AIS Academy Thais enable K people access online learn platform Supp ort med ical work G medica l solut ion    durin g CO VID p ande mic hel ping t han    K people    busin ess
35,nnova tion    project s join    program Act Climate Insta ll additional solar panel     base station Waste gener ate o pera tion dropp ed   
36,Reduc ed pa     Million    ebill account Collected Ewaste     piece    AIS SUSTAINABILITY STRATEGY thrive greener inclusive digital world revenue generate new digital service drive Digital Economy Promote Digital Inclusion Encouraging knowledge Robotic Automation Process RPA employee gain       increase awareness promote skill need    digital citizen AUNJAI CYBER program     total    People Act Climate reduce GHG emission     tCOe instal additional solar panel    base station expand ewaste drop point    location nationwideusing blockchain technology develop ewaste applicationimprove socioeconomic condition    million People expand g network cover total population launch hotline    AIS Spam Report CenterEnhancing cybersecurity system    zerotrust model Thailand Innovative Knowledge Enterprise MIKE Award     Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
37,GovernanceManagement StructureInternal ControlFinancial StatementCorporate Governance Highlight Board Composition    DirectorsMembers Board Directors    Independent Directors       director Audit    Risk Committee independent    hold directorship    exceed     yearsnumber Board    meeting     TimesBoard Effectiveness     MandatesThe Chairman Board Directors    Chief Executive Officer     person external directorship publicly list company average tenure    YearsThe Chairman Board Director Independent Director executive director hasdirectorship public list companiesAll board memberstotal attendance percentage  
38,member comply minimum attendance requirement    Director election Annual General Meeting    base individual basis     annual performance evaluation       conduct individual group basis  
39,evaluation independent counselor       conduct    year director rotation annually    nonexecutive    director Board Directors    Meeting evaluation    female Directors    Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
40,GovernanceManagement StructureInternal ControlFinancial StatementMessage Chairman    CEO Dear shareholder amid economic challenge AIS commit develop digital     infrastructure pursuit deliver fine service experience    customer  
41,   year Thai economy gradually recover wake acceleration economic activity follow    subside covid pandemic
42,macroeconomic factor fastchange global situation bring    confluence factor include rise energy cost increase inflation pose challenge sector    Thailand
43,regardless difficulty AIS remain fully committed continuously improve service experience differentiate service quality standard support Thailands digital economic activity customer grow demand technological advance prompt digital disruption
44,investment    billion baht    AIS achieve target expand G network cover      total Thai population develop fullservice g ecosystem result exponential growth    g user year
45,invest expand home broadband network allow user remote area access AIS Fibre service
46,endeavor instrumental drive Thailands digital economy contribute enormously achievement business target
47,AIS strive grow Digital Life Service Provider    Cognitive techco amid    economic volatility address need effectively    deliver superior service excellence customer    Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
48,GovernanceManagement StructureInternal ControlFinancial StatementIn addition accelerate growth core business determine    continue improve capability human capital enhance    internal cost management control cope rise cost    challenge
49,year incorporate digital technology work    process cost optimization program economic    condition limit pass superior service customer    deliver great return shareholder
50,   AIS achieve net profit       million baht pay total    million baht dividend account    year net profit
51,foster robust digital ecosystem     partnering multiple sector create     mutual growth deliver high privilege    customer
52,forefront digital service provider AIS pledge     leader development digital ecosystem
53,digitalization    effort efficient infrastructure digital ecosystem    cater application enhance potential    competitiveness help achieve mutual growth party   
54,previous year cooperation partner AIS    develop improve product service portfolio consolidate digital ecosystem Thailand central G Nextgen    platform allow Thai business sector explore    apply Genabled solution good suit business streamline    work process enhance competitiveness different sphere
55,AIS CloudX  
56,draw collaborative effort partner    unrivaled expertise product support enterprise client flexible cloud    management
57,distinctive capability connect digital    infrastructure G network securely conveniently offer    friendly alternative enterprise customer access highly secure    cloud service
58,Data Center  
59,   Gulf Singtel AIS enter agreement    establish data center business cater fast grow digital usage Thailand
60,dynamic growth Thailand attractive target digital investment multiple hyperscaler open opportunity AIS thrive new growth area future
61,aside digital ecosystem dedicated develop    diverse comprehensive privilege point ecosystem elevate service    experience value customer
62,   establish    partnership ally industry include Bangchak Group    Central Group Citibank Group Krungthai Bank
63,effort    AIS key strategy foster strong tie AIS customer    help strengthen AIS competitiveness long term
64,prime challenge     transformation Cognitive TechCo anticipate Thai global economy face    myriad risk challenge    AIS relentless transform    Digital Life Service Provider Cognitive techco ensure stakeholder notwithstanding economic volatility    disruption AIS business operation service delivery poise    address demand deliver exceptional service experience    customer effectively
65,possible drive development    key pillar    Autonomous Network    Intelligent      Data Insight    Customer Care deliver product service    answer customer latent need
66,believe development    core area raise customer experience AIS service    new level consolidate core business empower    propel growth digital activity Thailand gain competitive edge sustain growth year come
67,maintain sustainability target     dimension grow sustainably    stakeholder AIS attach utmost importance conduct business    alongside sustainable development
68,end Companys business    operation intertwine sustainability goal concept    thrive greener inclusive digital world create mutual    growth mankind environment span dimension     drive digital economy    promote digital inclusion    act    climate
69,dimension sustainable development framework    believe stimulate Thailand embark digital economy concern environment
70,strong determination    collaboration unit AIS result Company having win multiple    prestigious accolade    include High Commended Sustainability    Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
71,GovernanceManagement StructureInternal ControlFinancial StatementAwards Stock Exchange Thailand company operate    line sustainable development approach list    SET THSI Index consecutive year
72,international level    AIS list djsi World Emerging Market Indices    telecommunication industry category consecutive year    FTSE    Good Index Series year run
73,coveted accolade    bring great pride AIS true testament unwavering    commitment escalate growth digital infrastructure foster    readiness develop society Thailand sustainable digital    economy
74,endeavor align evolve environmental social    economic challenge pursuit goal grow robustly create    value group stakeholder sustainable manner
75,AIS like extend sincere gratitude customer    employee shareholder grow    create sustainability develop infrastructure digital     ecosystem Thailand
76,warm regard Mr Kan Trakulhoon Chairman Board DirectorsMr
77,Somchai Lertsutiwong Chief Executive Officer    Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
78,GovernanceManagement StructureInternal ControlFinancial StatementThe Audit Risk Committee Report    Audit Risk Committee Advanced Info Service Public Company     Limited comprise    independent director combine skill     expertise
79,member possess adequate qualification prescribe    Charter Audit Risk Committee prepare accordance    guidance regulation Stock Exchange Thailand    Capital Market Supervisory Board
80,Audit Risk Committee hold     meeting    review relevant matter
81,member meeting attendance follow  
82,Mr K rairit Euchukanonchai        Chairman o f Audit Risk Committee         att end    meeting     Mr Ger ardo c Ablaza Jr         Member o
83,f Audit Risk Committee         att end    meeting     Mr P redee Daochai      Member o f Audit Risk Committee     att end      meeting Mr Montri Khongkruephan Companys Head Internal Audit act Secretary Audit Risk Committee
84,   Audit Risk Committee carry duty independently     scope specify Charter Audit Risk Committee summarize
85,Financial Report Audit Risk Committee review    quarterly annual separate consolidated financial     statement Group    include disclosure note    shareholder Advanced Info Service Public Company limit financial statement
86,Audit Risk Committee     discuss significant matter external auditor Management     receive statement external auditor Management     ensure preparation Companys financial report    include disclosure note annual financial statement       conduct accordance financial reporting standard    adequate disclosure information
87,result Audit    Risk Committee concur financial statement    auditor review audit issue unqualified opinion
88,   addition Audit Risk Committee hold private meeting    external auditor participation Management discuss    independently external auditor obtain information     independence perform duty recommendation    internal control financial report
89,year    external    auditor remark
90,   Connected Transactions Transactions    Conflict Companys Interests Audit Risk    Committee review connected transaction transaction conflict Companys interest quarterly basis    conclude transaction reasonable    company good interest
91,addition transaction disclose    Stock Exchange Thailand accordance relevant    regulation
93,legality Audit Risk Committee review work    Corporate Compliance Department Legal Department    ensure Company place adequate control ensure operation comply applicable law regulation    Securities Exchange Commission Stock Exchange Thailand     National Broadcasting Telecommunications Commission Bank    Thailand law applicable Companys business     operation business obligation thirdparty agreement   
94,Audit Risk Committee continuously follow dispute    ensure material information disclose note    financial statement
95,   Int ernal Control System Internal Audit
96,Audit    Risk Committee review effectiveness adequacy internal control system internal audit report present   
97,Audit Risk Committee consistently consider    monitor result pertain recommendation address internal audit external audit report acknowledge root cause provide suggestion management prevent potential    loss
98,Audit Risk Committee monitor review    result ensure Management follow internal control     system recommendation prevent recurrence deficiency    assess Companys internal control system use     Securities Exchange Commissions recommend evaluation form  
99,Audit Risk Committee review internal audit activity     revisit Internal Audit Charter review approve annual    audit plan    hold private meeting Head Internal    Audit participation management
100,Audit    Risk Committee engage independent external assessor    conduct quality assurance review internal audit activity ensure    internal audit activity perform objectivity    Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
101,GovernanceManagement StructureInternal ControlFinancial Statementindependence adequate resource achieve audit plan    accordance Institute Internal Auditors International    Standards Professional Practices Internal Auditing include    Code Ethics
102,Audit Risk Committee conclude Company     implement adequate internal control business operation  
103,significant deficiency cause material impact    Companys financial report line external    auditor opinion
104,furthermore Companys internal audit carry appropriately effectively independently
106,review oversight risk Management       Audit Risk Committee hold    meeting executive    Risk Management Committee review appropriateness risk assessment risk control risk monitoring risk reporting
107,Audit Risk Committee conclude Company    appropriate risk management system facilitate efficient    effective business operation  
109,Review Fraud Investigation Audit Risk Committee    review oversee Companys adherence Fraud    andor Misconduct Reporting Whistleblower Protection Policy
110,   meeting Companys Investigation Committee conduct       review complaint investigation result accord Companys process include efficiency whistleblowing    channel
111,complaint noncompliance     Companys Code Business Ethics work rule material     loss
112,complaint submit consideration     establish preventive measure
114,nomination Appointment External Auditor    annual Audit Fee Audit Risk Committee    consideration nomination appointment external    auditor annual audit fee    base assessment    qualification competency experience performance independence    auditing appropriateness audit fee nonaudit     service offer audit firm ensure independence
115,careful consideration Audit Risk Committee propose Board Directors seek approval appoint external auditor KPMG Phoomchai Audit Company Limited external auditor year    Shareholder Meeting
117,duty Responsibilities Audit Risk    Committee Audit Risk Committee undertake    annual selfassessment individually group accordance    Stock Exchange Thailands criterion
118,result demonstrate    Audit Risk Committee appropriately carry    duty responsibility accordance Charter Audit    Risk Committee
119,Audit Risk Committee review revision Charter Audit Risk Committee    annual basis account good practice compliance regulation prescribe Capital Market Supervisory Board
120,conclusion Audit Risk Committee carry duty accord     responsibility delegate Board Directors expertise professional care
121,addition Audit Risk Committee demonstrate independence perform duty access pertinent information management employee associate    party
122,Audit Risk Committee provide opinion     recommendation continuously improve governance risk management    internal control system stakeholder interest
123,behalf Audit Risk Committee Mr Krairit Euchukanonchai Chairman Audit Risk Committee    Mr Predee Daochai appoint Audit Risk Committee Board Directors replace Mr Surasak Vajasit prematurely resign Board Directors Audit Risk Committee    August
124,appointment effective    September
125,   Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
126,GovernanceManagement StructureInternal ControlFinancial StatementNomination Compensation Committee Report Nomination Compensation Committee NCC consist     member Khun Kan Trakulhoon Chairman Khun Sarath     Ratanavadi Khun Jeann Low Ngiap Jong member
127,   NCC    meeting member attend
128,   performance summary year    describe follow
129,compliance Corporate Governance Policy    Review
130,   committee consider result corporate governance    survey report analyze board performance assessment report order improve promote role responsibility board director good corporate governance
131,addition committee    consider concur restructuring executive     committee support management achieve business     objective propose board director approval
132,   p olicy Criteria Formulation director  
133,nomination committee invite shareholder propose candidate     nominate director st October    st December    consideration connection nomination director recommendation source   
134,   committee consider approve amendment Board skill matrix cover new director replace resign director propose qualified candidate Board shareholder consideration  
135,   Compensation Director Executives Compensation committee consider concur director    executive compensation scheme base study analysis    benchmarke similarsize list company     company industry attract retain highly qualified director executive Company      
136,employee Compensation committee consider concur principle     employee compensation benchmarke practice    lead company size market andor industry    capitalization  
137,   leadership D evelopment committee promote development executive capability    company lead telecom business face rise competition disruptive technological evolvement    rapid change consumer behavior
138,committee encourage    executive employee learn study source    inside outside organization view enhance    managerial capability prepare human capital handle new challenge regular basis
140,ex ecutive Succession Plan
141,committee determine executive succession plan strategy aspect comprehensively transparently order manage    risk mitigation loss key position company consider    succession plan propose Board Directors    consideration Mr Kan Trakulhoon Chairman Nomination Compensation Committee    Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
142,GovernanceManagement StructureInternal ControlFinancial Statement Sustainable Development Committee Report Sustainable Development Committee comprise member     Chairman Kan Trakulhoon member Yupapin Wangviwat Arthur Lang    Tao Yih Somchai Lertsutiwong
143,   Sustainable Development Committee meet time    member present perform duty accord scope role    responsibility prescribe charter
144,material action carry    committee follow Material matter impact sustainable business    operation consider approve material matter impact business     operation sevendimension Companys sustainability     strategy
145,reprioritize align view stakeholder business plan key global change development
146,sustainable Development Policy Strategies    Goals    consider ad approve goal strategy sustainability    operation
147,revise strategy theme create mutual    growth human environment digital world encompass    key area    drive digital economy    build digital access    society    sustain environment
148,goal revise accommodate change sustainability aspect    business strategy address evolve opportunity    challenge expectation stakeholder
149,    consider approve action plan line sustainable    business development strategy correspond new goal  
150,plan cover aspect    tackle climate change plan    achieve zero emission greenhouse gas     create value    group people society plan promote expand use digital platform health care education upgrade develop quality life community society    decency safety use internet social medium develop generation digital citizen utilize online content appropriately
151,    consider approve revise environmental policy     commitment protect biodiversity forest land provide    framework AIS environmental performance cover value    chain business   
152,disclosure Sustainability Information     Compliance International Standards    Attainment Sustainability Awards    cknowledge AIS sustainability performance Sustainability    Report    disclose sustainability information measure assess clearly compliance Global Reporting Initiative    GRI Sustainability Accounting Standards Board SASB standard    public
153,    cknowledge information disclosure conformance Task    Force Climaterelated Financial Disclosures TCFD provide     guideline assessment climate change impact     understanding opportunity risk allow formulation     risk management guideline appropriate Companys context   
154,   acknowledge attainment sustainability award reflect    Companys commitment operational excellence include IDCs    Future Enterprise Awards    Special Award Sustainability category International Data Corporation IDC SET Awards    s Sustainability Excellence highly commended category    Stock Exchange Thailand Money    Banking Magazine
155,Mr Kan Trakulhoon Chairman Sustainable Development Committee Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
156,GovernanceManagement StructureInternal ControlFinancial StatementExecutive Committee Report Executive Committee comprise    highly experienced member Mr Allen Lew Yoong Keong    Chairman Mr Sarath Ratanavadi Mr Arthur Lang Tao Yih Mr Somchai Lertsutiwong Mr    Smith Banomyong member
157,   Executive Committee hold total    meeting perform duty accordance    authority responsibility charter
158,summary Executive Committees performance year    substantially follow     r eviewe concur Companys strategic direction management structure annual business    plan budget propose Board Directors approval
159,    Monit ore financial operational performance Company report Board Directors    acknowledgement
160,    consider ed provide opinion concur dividend payment execution investment    transaction propose Board Directors approval
161,    p repare Executive Committee Report year    disclose report
162,Mr Allen Lew Yoong Keong Chairman Executive Committee    Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
163,GovernanceManagement StructureInternal ControlFinancial StatementBusiness Overview course    year provide telecommunication infrastructure Thai society start    collaborative contract    concessionaire AIS grant right utilize state frequency year builttransferoperate BTO agreement
164,      National Broadcasting Telecommunications Commission NBTC government agency regulate broadcasting telecommunication    establish task grant spectrum license
165,licensing scheme major turning point telecommunications industry Thailand support fair competition development new technology
166,AIS remain committed vision    mostadmired Digital Life     Service Provider Thailand    follow mission    d eliver superior product service enrich people daily    live improve enterprise capability efficiency
167,    e nhance customer intimacy good customer experience
168,    drive intr apreneurship employee professionalism pro mote positive lively agile work culture
169,    Build winwin gr owth stakeholder
170,Mobile    Business Enterprise BusinessFixed    Broadband Digital Service Digital Life    Service    Provider Business Performance    Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
171,GovernanceManagement StructureInternal ControlFinancial statementai Transformation Digital Life Service Provider Cognitive TechCo deliver excellent digital experience core business Mobile Communication    Service Fixed Broadband Service     Enterprise Business service    Digital Service    G G G G technology    brand AIS provide monthly subscription    service topup service international    roam network partner       destination worldwide
172,provide highspeed home internet utilize    FTTx fiber optic brand AIS Fibre
173,offer cloud service data center cyber    security Internet Things IoT ICT    solution corporate client collaboration    multiple partner
174,focus create valueadde digital    service serve new revenue source    medium long term anticipation    change consumer behavior    technology
175,   ais total asset value Baht    million market capitalization Baht       million rank th Stock Exchange Thailand Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
176,GovernanceManagement StructureInternal ControlFinancial Statement lead Mobile Market end    AIS maintain position lead mobile    operator Thailand revenue market share    total      million subscriber nationwide
177,mobile communication service    revenue account    total service revenue
178,AIS provide quality    service G G G G network use frequency band    ghz             mhz total    MHz x mhz    FDD technology    mhz TDD technology
179,   mhz    license grant NBTC x mhz TOT partnership    agreement
180,ais mobile network currently cover    countrys    population
181,high spectrum holding peer AIS remain industry leader network quality service  
182,furthermore AIS maintain position leader offer    Gbased service Thailand
183,follow official launch       Company continue expand g network cover    province    reach    Thailands population year end       spectrum industry
184,AIS prime cope fastgrowing    g market deliver variety gbased experience address customer    demand general customer corporate client
185,currently AIS G customer base    million
186,grow Fixed Broadband Market Revenue Market     Share    Subscriber Market     Share    operator DTAC truemovesubscriber Market     Share    fix broadband operator include true NT BB AIS start fix broadband business brand AIS Fibrein    intent increase new revenue source build exist    fiber network mobile business mobile customer base  
187,currently AIS Fibre available    city cover    million household
188,AIS Fibre penetrate market use strength provide FTTH technology connect household internet ready support exist adsl user wish upgrade high quality technology superior speed    Gbps
189,fix broadband revenue    account       total service revenue
190,present total number subscriber     million accounting    fix broadband subscriber market share Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
191,GovernanceManagement StructureInternal ControlFinancial StatementEnhancing Potential Corporate Client    Business Building enterprise datum service offer mobile communication    service internet link corporate client AIS expand    service support digital transformation small medium largesize    business
192,endtoend service encompass cloud service data center    cyber security internet Things IoT ICT solution cciid
193,   AIS    acquire CS Lox Info Public Company Limited strengthen capability provide integrate service enterprise client
194,   revenue Corporate Client Business exclude mobile communication revenue account    total service revenue
195,distinctive feature    G technology include high speed low latency multidevice    supportive feature couple network capability partnership    collaboration enable AIS use advanced technology    support service industrial sector efficiently
196,industry    focus include smart industry solution manufacture focus case    transportation logistic smart property retail
197,currently AIS    offer variety genable service G Fixed Wireless Access G network slicing g private network
198,build Core Businesses Digital Services digital service business involve development diverse range    service incorporate digital technology encompass network platform    digital solution deliver digital service customer corporate    client collaboration development connected business    environment partner grow
199,AIS digital service focus    area video platform mobile money platform    digital marketing insurance
200,digital service business    expect play key role create new revenue source AIS future apart revenue data connection mobile internet fee
201,enable AIS integrate service provider converge product service core business
202,operate license regulate NBTC
203,majority AIS business particularly mobile communication    fix broadband business operate regulation    National Broadcast Telecom Commission NBTC regulatory    authority form accordance Frequency Allocation Act
204,AIS subsidiary grant telecommunications business license include    ghz          mhz spectrum license average license life    year
205,end spectrum license NBTC redistribute spectrum license auction
206,AIS mandate pay license fee Universal Service Obligation USO    fee numbering fee NBTC    service revenue year Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
207,GovernanceManagement StructureInternal ControlFinancial StatementKey Development Past year     sign MOU NCS Telco support digital transformation    Thailand
208,NCS support AIS digital transformation effort    synergistic collaboration technology G iot Cloud    Cyber Security complement AIS strength leader    countrys digital infrastructure enhance Companys capability    support organization Thailand materialize commitment    digital transformation  
209,enter strategic collaboration agreement ZTE build    advanced g network AZ Center elevate Company intelligent telecommunication organization
210,objective raise    quality deliver excellent service experience customer
211,agreement     aim develop innovation Thailand forefront digital     economy cooperation area    develop G innovation infrastructure solution    upgrade G network intelligent    digital network big datum processing AI    expand g    capability elevate industrial sector  
212,receive Microsoft Best Partner Year    award present    Microsoft worldclass partner successfully deliver classabove    innovative service base Microsoft technology customer
213,   award select Microsofts    partner    country worldwide  
214,purchase share startup Intouch enhance AIS     business potential provide digital service customer
215,help    expand consolidated AIS core business line Companys    business direction digital life service provider
216,establish subsidiary AIS DC Venture CoLtd enter     joint development agreement datum center business Gulf Energy    Development Public Company GULF Singapore Telecommunications    Limited Singtel pace growth accommodate need    digital infrastructure Thailand   
217,join hand SCG Huawei incorporate expertise    partner Yutong Waytous develop unmanned system    logistic application intelligent g network private network    operate electric engine truck transport raw material factory    SCG industrial estate Saraburi accord route planning  
218,align effort develop future industry use digital technology contribute environmental sustainability  
219,   Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
220,GovernanceManagement StructureInternal ControlFinancial Statement    partner Microsoft Thailand Limited develop provide    cloud service key area
221,   drive digital solution promote    use cloud service solution
222,upgrade AIS employee digital skill equip Microsofts indepth digital technology skill   
223,develop innovation business use efficient solution appropriate    type business  
224,launch AIS CloudX intelligent cloud ecosystem allow     business develop cloud infrastructure application     solution require highspeed processing mission critical task    demand low latency
225,Company team VMware    Southeast Asias provider sovereign cloud service ensure     maximum security standard reduce cost complexity system     design
226,service enable business sector achieve digital     transformation pursuit potential enhancement business agility    cope unpredictable change arise     grant license    MHz frequency band x MHz x mhz    width NBTC January    April    respectively term    year
227,   mhz standard frequency range lowband G mark coverage enable AIS expand g network cover wide area  
228,obtain license    ghz frequency band    MHz width    February    year team
229,millimeterwave band meet    capacity requirement G network allow high speed    data transfer rate gigabit second Gbps vital     application require highspeed stable datum rate low latency       millisecond Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
230,GovernanceManagement StructureInternal ControlFinancial Statement    appoint official distributor Disney    Hotstar streaming service    gain wide acceptance Thailand Asia worldwide deliver    classabove entertainment experience encompass diverse range    content audience age Thailand     won G auction spectrum include lowband    MHz    X mhz midband    MHz    MHz highband    ghz    mhz  
231,G NSA license service nonstandalone launch February     nationwide    MHz frequency band
232,G SA standalone service    dependent exist G network subsequently introduce    July   
233,set LearnDi Company Limited LDI    subsidiary AIS     capital investment    Baht provide training seminar service    online elearne platform  
234,establish Saha Advanced Network CoLtd SAN joint venture    Saha Pathana InterHolding Public Company Limited stake     value    million baht
235,joint venture design provide fiber    optic network ICT infrastructure enhance operational efficiency    business SPI Industrial Park span    rais land
236,g solution    incorporate maximize operational efficiency
237,   Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
238,GovernanceManagement StructureInternal ControlFinancial StatementInvestment structure AIS group    December    Advanced Info Service Public Company Limited Mobile FBB Enterprise Business Digital Business ad Venture Public Co Ltd ADVAdvanced Wireless Network CoLtd
239,AWN     Clearing House Number Portability CoLtd
240,CLH    CS LoxInfo Public Co Ltd CSL Fax Lite CoLtd
241,FXL    Advanced Broadband Network CoLtd  
242,ABN    Amata Network Co Ltd    Information Highway CoLtd
243,IH    Saha Advance Network Co Ltd SAN Advanced Contact Center CoLtd
244,ACC    AIN GlobalComm CoLtd
245,AIN    Super Broadband Network CoLtd
246,SBN    MIMO Tech CoLtd
247,MMT    Digital Phone CoLtd
248,DPC    Clearing House Number Portability CoLtd
249,CLH    Bridge Mobile Pte
250,Ltd BMB Advanced Magic Card CoLtd
251,AMC    Choco Card Enterprise Co Ltd
252,   Datafarm Co Ltd
253,   Swift Dynamics Co Ltd    Advanced mpay CoLtd
254,AMP Advanced Digital Distribution CoLtd
255,ADD    LearnDi Company Limited LDI    GSA Data Centre Company Limited AIS DC Venture Company limitedai Digital Life CoLtd
256,ADL    Rabbit Line Pay CoLtd RLP    Advanced Data Network Communications CoLtd
257,ADC Subsidiaries Subsidiaries Joint Venture Associated Company investmentsremark
