Company,Year,Score,ABV
TRUE CORPORATION PUBLIC COMPANY LIMITED,2018,89,TRUE
TRUE CORPORATION PUBLIC COMPANY LIMITED,2019,90,TRUE
TRUE CORPORATION PUBLIC COMPANY LIMITED,2020,91,TRUE
TRUE CORPORATION PUBLIC COMPANY LIMITED,2021,93,TRUE
TRUE CORPORATION PUBLIC COMPANY LIMITED,2022,93,TRUE
ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,2018,79,ADVANC
ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,2019,84,ADVANC
ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,2020,87,ADVANC
ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,2021,88,ADVANC
ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,2022,90,ADVANC
TOA Paint (Thailand) Public Company Limited,2018,6,TOA
TOA Paint (Thailand) Public Company Limited,2019,14,TOA
TOA Paint (Thailand) Public Company Limited,2020,16,TOA
TOA Paint (Thailand) Public Company Limited,2021,21,TOA
TOA Paint (Thailand) Public Company Limited,2022,25,TOA
BUMRUNGRAD HOSPITAL PUBLIC COMPANY LIMITED,2018,7,BH
BUMRUNGRAD HOSPITAL PUBLIC COMPANY LIMITED,2019,9,BH
BUMRUNGRAD HOSPITAL PUBLIC COMPANY LIMITED,2020,12,BH
BUMRUNGRAD HOSPITAL PUBLIC COMPANY LIMITED,2021,20,BH
BUMRUNGRAD HOSPITAL PUBLIC COMPANY LIMITED,2022,26,BH
Intouch Holdings Public Company Limited,2018,52,INTUCH
Intouch Holdings Public Company Limited,2019,27,INTUCH
Intouch Holdings Public Company Limited,2020,24,INTUCH
Intouch Holdings Public Company Limited,2021,27,INTUCH
Intouch Holdings Public Company Limited,2022,25,INTUCH
HANA MICROELECTRONICS PUBLIC COMPANY LIMITED,2020,20,HANA
HANA MICROELECTRONICS PUBLIC COMPANY LIMITED,2021,20,HANA
HANA MICROELECTRONICS PUBLIC COMPANY LIMITED,2022,31,HANA
Sri Trang Agro-Industry Public Company,2020,16,STA
Sri Trang Agro-Industry Public Company,2021,21,STA
Sri Trang Agro-Industry Public Company,2022,34,STA
SIAM GLOBAL HOUSE PUBLIC COMPANY LIMITED,2018,1,GLOBAL
SIAM GLOBAL HOUSE PUBLIC COMPANY LIMITED,2019,1,GLOBAL
SIAM GLOBAL HOUSE PUBLIC COMPANY LIMITED,2020,13,GLOBAL
SIAM GLOBAL HOUSE PUBLIC COMPANY LIMITED,2021,16,GLOBAL
SIAM GLOBAL HOUSE PUBLIC COMPANY LIMITED,2022,41,GLOBAL
TIPCO ASPHALT PUBLIC COMPANY LIMITED,2018,12,TASCO
TIPCO ASPHALT PUBLIC COMPANY LIMITED,2020,29,TASCO
TIPCO ASPHALT PUBLIC COMPANY LIMITED,2021,47,TASCO
TIPCO ASPHALT PUBLIC COMPANY LIMITED,2022,49,TASCO
BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY LIMITED,2018,14,BDMS
BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY LIMITED,2019,13,BDMS
BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY LIMITED,2020,20,BDMS
BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY LIMITED,2021,60,BDMS
BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY LIMITED,2022,65,BDMS
MINOR INTERNATIONAL PUBLIC COMPANY LIMITED,2018,58,MINT
MINOR INTERNATIONAL PUBLIC COMPANY LIMITED,2019,66,MINT
MINOR INTERNATIONAL PUBLIC COMPANY LIMITED,2020,67,MINT
MINOR INTERNATIONAL PUBLIC COMPANY LIMITED,2021,67,MINT
MINOR INTERNATIONAL PUBLIC COMPANY LIMITED,2022,69,MINT
THE SIAM CEMENT PUBLIC COMPANY LIMITED,2018,83,SCC
THE SIAM CEMENT PUBLIC COMPANY LIMITED,2019,86,SCC
THE SIAM CEMENT PUBLIC COMPANY LIMITED,2020,90,SCC
THE SIAM CEMENT PUBLIC COMPANY LIMITED,2021,87,SCC
THE SIAM CEMENT PUBLIC COMPANY LIMITED,2022,89,SCC
DELTA ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED,2018,62,DELTA
DELTA ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED,2019,78,DELTA
